Time	cb	gl	xy
7.860000000000000000e+02	1.234116324370513329e+00	1.682982059594468183e+01	8.132627416927899588e+00
7.890000000000000000e+02	1.256603402673422964e+00	1.712062366366197708e+01	8.319455986260901881e+00
7.920000000000000000e+02	1.191279507080826638e+00	1.699883028146631858e+01	7.878166294290166682e+00
7.950000000000000000e+02	1.249567114435211179e+00	1.719564380339855347e+01	8.197836260100165973e+00
7.980000000000000000e+02	1.231035374616056277e+00	1.691843915057755510e+01	8.048016656361518528e+00
8.010000000000000000e+02	1.270326955935522584e+00	1.683036198694492214e+01	8.134105299654212473e+00
8.040000000000000000e+02	1.243003442104710254e+00	1.707176212561807915e+01	8.269796079466592786e+00
8.070000000000000000e+02	1.202267055395139117e+00	1.644634616567507734e+01	7.750870247094118426e+00
8.100000000000000000e+02	1.266148390606449237e+00	1.725983874307046761e+01	8.547544468373237336e+00
8.130000000000000000e+02	1.267394467686068005e+00	1.714673152303993930e+01	8.275415796053408712e+00
8.160000000000000000e+02	1.260201494983214987e+00	1.785690689025801348e+01	8.706526115600242477e+00
8.190000000000000000e+02	1.221831186417139836e+00	1.809149068739900912e+01	8.923971536325810305e+00
8.220000000000000000e+02	1.264122555365561507e+00	1.731169791274940195e+01	8.283316464401808688e+00
8.250000000000000000e+02	1.253429977893655067e+00	1.710193848305053521e+01	8.159302627277265074e+00
8.280000000000000000e+02	1.221985048496829318e+00	1.753213842992369109e+01	8.553597621632087922e+00
8.310000000000000000e+02	1.244389303746394226e+00	1.694424930110530880e+01	8.218919520718163341e+00
8.340000000000000000e+02	1.246146343326793859e+00	1.760351507877902932e+01	8.403183594477390272e+00
8.370000000000000000e+02	1.297669659430176869e+00	1.759442389494762793e+01	8.573858052828047249e+00
8.400000000000000000e+02	1.220929299612260710e+00	1.714530877371502271e+01	8.078957800259834343e+00
8.430000000000000000e+02	1.243677739435278262e+00	1.696535819152877878e+01	8.239194927449451811e+00
8.460000000000000000e+02	1.220173533576084157e+00	1.660045457989750517e+01	7.823806210136760697e+00
8.490000000000000000e+02	1.237317185216219029e+00	1.693681039177779368e+01	8.112973388840352129e+00
8.520000000000000000e+02	1.232333731566025437e+00	1.745871021121091715e+01	8.424990826313232262e+00
8.550000000000000000e+02	1.180450788757075653e+00	1.762299891053272916e+01	8.609775432692012842e+00
8.580000000000000000e+02	1.212526122578868382e+00	1.780578017704537785e+01	8.665865339092565733e+00
8.610000000000000000e+02	1.219390266358324038e+00	1.716728018617294182e+01	8.317235859221137062e+00
8.640000000000000000e+02	1.274590131558083650e+00	1.735216638496746455e+01	8.435728751362264077e+00
8.670000000000000000e+02	1.225631898064054592e+00	1.783349936480494335e+01	8.580398324378451846e+00
8.700000000000000000e+02	1.222581104103052985e+00	1.655402939020855513e+01	8.065859808718521151e+00
8.730000000000000000e+02	1.164160963604574217e+00	1.775442807295604908e+01	8.287801485609771035e+00
8.760000000000000000e+02	1.232113317824514942e+00	1.731875559217639804e+01	8.128230808578743805e+00
8.790000000000000000e+02	1.210450284365307994e+00	1.712770551681955311e+01	8.349698646951127401e+00
8.820000000000000000e+02	1.202484967888736378e+00	1.729785868199499177e+01	8.420366420080236836e+00
8.850000000000000000e+02	1.187146992488993469e+00	1.632042436485683723e+01	7.856415587244820919e+00
8.880000000000000000e+02	1.208650536977417644e+00	1.728224195691712950e+01	8.368350609596914680e+00
8.910000000000000000e+02	1.273407003447403429e+00	1.656602564448539994e+01	8.107112674511467887e+00
8.940000000000000000e+02	1.235920223659616957e+00	1.668050026827842203e+01	7.864557428625938762e+00
8.970000000000000000e+02	1.223840882635071736e+00	1.593991557959980909e+01	7.816802453653579619e+00
9.000000000000000000e+02	1.305748835567859922e+00	1.661890033812456124e+01	8.115621936460239993e+00
9.030000000000000000e+02	1.280610484991393294e+00	1.624859577716136272e+01	7.950605137241886666e+00
9.060000000000000000e+02	1.251832060199987717e+00	1.588050025094613815e+01	7.762492969628416617e+00
9.090000000000000000e+02	1.287664021381343504e+00	1.566013689759019734e+01	7.815463079450737816e+00
9.120000000000000000e+02	1.274166882022522040e+00	1.587092829976251451e+01	7.681957061595239722e+00
9.150000000000000000e+02	1.239443892504262790e+00	1.655619323155236344e+01	8.012166110067600044e+00
9.180000000000000000e+02	1.190407579121739001e+00	1.556852728919469797e+01	7.345568626716808325e+00
9.210000000000000000e+02	1.248422455208743065e+00	1.530791237132929083e+01	7.532175030102014723e+00
